id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
369938,Kwality Walls Frozen Dessert and Ice Cream Shop,"HSR,Bangalore",4.6,20+ ratings,300.0,Ice Cream,2.12222E+13,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-hsr-mangammanapalya-bangalore-369938,"Kwality Walls Frozen Dessert and Ice Cream Shop, ARYAN ENTERPRISES: 20/6, OPP ITI LAYOUT, TANK BUND ROAD, SHADI MAHAL, MANGAMANAPALYA , Bommanahalli , B.B.M.P South, Karnataka-560068",Menu/369938.json
65613,Natural Ice Cream,"Vijay Nagar,Indore",4.6,100+ ratings,150.0,Ice Cream,1.14149E+13,https://www.swiggy.com/restaurants/natural-ice-cream-hotel-fortune-landmark-scheme-no-54-indore-65613,"Natural Ice Cream, G1 2 Sapphire Heights, Opp C21 MALL, Vijay Nagar , A.B. Road, Indore - 452010",Menu/65613.json
310392,The Simply Salad,"Vastrapur,Ahmedabad",4.6,50+ ratings,200.0,"Salads,Healthy Food",2.0721E+13,https://www.swiggy.com/restaurants/the-simply-salad-shivranjani-ahmedabad-310392,"The Simply Salad, 36, Umiya Vijay Society, Opposite Vodafone Store, Next to Jalaram Paratha House, Shivranjani-380015, Ahmedabad.",Menu/310392.json
543431,Le15 Patisserie Powai,"Powai,Mumbai",4.6,20+ ratings,500.0,"Desserts,Bakery",1.1522E+13,https://www.swiggy.com/restaurants/le15-patisserie-powai-powai-mumbai-543431,"Le15 Patisserie Powai , B-16, KAILAS INDL. COMPLEX, VEER SAVARKAR ROAD, POWAI VIKHROLI ROAD, VIKHROLI WEST, MUMBAI - 400079",Menu/543431.json
392916,The chicken house,"Central Kolkata,Kolkata",4.6,20+ ratings,200.0,Indian,2.2821E+13,https://www.swiggy.com/restaurants/the-chicken-house-central-broad-street-kolkata-392916,"The chicken house, 64/5/1 Broad street kolkata Borough, Kolkata Municipal Corporation, Kolkata , West Bengal - 700019",Menu/392916.json
344461,The Brooklyn Creamery - Healthy Ice Cream,"Powai,Mumbai",4.6,50+ ratings,200.0,"Desserts,Ice Cream",1.1515E+13,https://www.swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-powai-vikhroli-west-mumbai-344461,"The Brooklyn Creamery - Healthy Ice Cream, Samosas Vadilal, Opp. IIT Main Gate, Jogeshwari - Vikhroli Link Rd, Powai, Mumbai, Maharashtra 400076",Menu/344461.json
378314,Kwality Walls Frozen Dessert and Ice Cream Shop,"Indira Nagar,Lucknow",4.6,100+ ratings,300.0,Ice Cream,1.27201E+13,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-indira-nagar-lucknow-378314,"Kwality Walls Frozen Dessert and Ice Cream Shop, GAZAL COOL CORNER: VIJAYPUR GAON, FAIZABAD ROAD, GOMTINAGAR, LUCKNOW, UTTAR PRADESH-226010",Menu/378314.json
8737,Krispy Kreme,"Kammanahalli/Kalyan Nagar,Bangalore",4.6,100+ ratings,170.0,"Desserts,Beverages",1.12203E+13,https://www.swiggy.com/restaurants/krispy-kreme-3rd-block-kalyan-nagar-bangalore-8737,"Krispy Kreme, #402, 3rd Block, HRBR Layout (Near Chung's Retaurant), Kammanahalli, Bangalore?560043. Ph: 080 25426510",Menu/8737.json
302682,SHIVAM,"Bally,Kolkata",4.6,50+ ratings,400.0,"Tandoor,Chinese",1.2818E+13,https://www.swiggy.com/restaurants/shivam-bally-kolkata-302682,"SHIVAM, KUNDU MARKET , BALLY DURGAPUR SAMABAY PALLY , DELHI ROAD, BALLY-JAGACHA, Howrah(West Bengal) -711205, West Bengal",Menu/302682.json
546700,BRUFFLES-waffle from brussels,"Powai,Mumbai",4.6,50+ ratings,200.0,Bakery,1.1521E+13,https://www.swiggy.com/restaurants/bruffles-waffle-from-brussels-powai-mumbai-546700,"BRUFFLES-waffle from brussels, Shop No. 9, Ground Floor, B Wing, Housing Ltd, Daffodil, A S Marg, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076, India",Menu/546700.json
